N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PERCISION,F1,RECALL_WO_O,PERCISION_WO_O,F1_WO_O
Model1,500,1,1,0.8837801771199806,0.8688616377821932,0.8664199305986743,0.7721518987341772,0.7788867270506283,0.7693070996961137
Model2,500,2,1,0.8652189736746331,0.8714770111472527,0.8616845092412817,0.7027932960893855,0.6974666920411897,0.6716514774702815
Model3,500,3,1,0.7838165716365401,0.8329344929814931,0.7934508374778092,0.413265306122449,0.2799611924745262,0.3138678071540362
Model4,500,1,2,0.893242751425452,0.8809795764683316,0.8796177008034954,0.782051282051282,0.7841669444598115,0.7809190427451074
Model5,500,2,2,0.8959116826398156,0.893000972271927,0.8883596785019732,0.7785910338517841,0.7841685837749601,0.7785915278946518
Model6,500,3,2,0.7812689554773747,0.8744870983388487,0.8113552811157674,0.5103492884864166,0.5769712006511875,0.5032374108953266
Model7,800,1,2,0.8925148610942618,0.8805833913858444,0.8800287819482457,0.8069254984260231,0.8127258966227162,0.8073167499057722
Model8,800,2,2,0.896760888026204,0.9016173159176821,0.8942268264019952,0.7960893854748603,0.8073707150843948,0.7970570865771623
Model9,800,3,2,0.7908528448380444,0.8956480698585664,0.8277057719265606,0.509765625,0.5857683917147559,0.511660046005659
