N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PERCISION,F1,RECALL_WO_O,PERCISION_WO_O,F1_WO_O
Model1,500,1,1,0.8868130534999393,0.8726865368582032,0.8703846478774637,0.7604395604395604,0.765158498877601,0.759317128718206
Model2,500,2,1,0.8786849448016499,0.862931610478011,0.8667837718307165,0.6841103710751665,0.6927582881689806,0.67261457104238
Model3,500,3,1,0.8562416595899551,0.814445321151511,0.8319447791978184,0.49303621169916434,0.41279241978038134,0.39756540364230475
Model4,500,1,2,0.8004367341987141,0.899688793116379,0.8330332321238821,0.6049295774647887,0.6741334459032134,0.5984879602101859
Model5,500,2,2,0.819483197864855,0.9180748833706162,0.8542318326343934,0.626514131897712,0.722646927494134,0.6556258354140883
Model6,500,3,2,0.8624287274050709,0.8642558158206053,0.8608530733347807,0.5904590459045904,0.6581244253979996,0.6054688141753779
Model7,800,1,2,0.8054106514618464,0.9006313034214748,0.8391074707574873,0.6145251396648045,0.7061608655167574,0.6306093094356466
Model8,800,2,2,0.8989445590197743,0.8893449139938702,0.8895810274933097,0.7835051546391752,0.7918041824889545,0.7835669521837936
Model9,800,3,2,0.8004367341987141,0.9075961854100196,0.8400386046088119,0.5671447196870926,0.6748879643226556,0.5849751189136075
